Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Jemile Weeks,Athletics (AAA),24,217,13.40%,14.70%,0.91,0.321,0.417,0.446,0.862,0.125,6.8,0.373,0,37,6.9,0.392,122,2498
Andy Dirks,Tigers (AAA),25,172,7.00%,16.30%,0.43,0.325,0.368,0.522,0.891,0.197,7.2,0.355,1.5,28,8.7,0.391,144,6453
J.R. Towles,Astros (AAA),27,136,13.20%,8.10%,1.64,0.276,0.43,0.4,0.83,0.124,4.6,0.283,0.6,23,4.2,0.391,122,7348
Michael Saunders,Mariners (AAA),24,291,17.20%,24.40%,0.7,0.288,0.415,0.449,0.864,0.161,6.9,0.384,0.5,50,8.8,0.39,121,9981
Andy Parrino,Padres (AAA),25,178,9.00%,14.00%,0.64,0.327,0.399,0.484,0.883,0.157,4.6,0.364,-0.1,30,5.4,0.39,121,3972
Mat Gamel,Brewers (AAA),25,545,8.40%,15.40%,0.55,0.31,0.372,0.54,0.912,0.229,2.9,0.326,0.4,93,16.4,0.39,121,4034
Mike Jacobs,Rockies (AAA),30,495,11.70%,21.20%,0.55,0.298,0.376,0.534,0.91,0.235,2.8,0.34,-0.9,85,14.8,0.39,121,2231
Lou Montanez,Cubs (AAA),29,382,9.90%,12.30%,0.81,0.318,0.393,0.489,0.883,0.171,5.1,0.351,-2.2,65,11.2,0.389,121,2923
Brian Bixler,Nationals (AAA),28,108,14.80%,27.80%,0.53,0.314,0.439,0.407,0.846,0.093,4.7,0.464,0.3,18,5.3,0.389,142,8055
Alex Presley,Pirates (AAA),25,376,7.40%,14.40%,0.52,0.333,0.388,0.485,0.874,0.152,7,0.376,0.9,62,18.3,0.389,142,5305
Anthony Recker,Athletics (AAA),27,412,13.60%,19.70%,0.69,0.287,0.388,0.501,0.889,0.214,4,0.328,-1.1,70,11.7,0.388,120,4063
Paul Mcanulty,Angels (AAA),30,495,8.50%,18.60%,0.46,0.311,0.37,0.532,0.902,0.221,2.9,0.352,-0.5,84,13.9,0.388,120,4409
Jose Yepez,Mariners (AAA),30,181,13.30%,12.20%,1.09,0.307,0.414,0.431,0.846,0.124,5.1,0.344,0.2,31,5.1,0.388,120,sa209508
Joey Butler,Rangers (AAA),25,474,9.10%,29.10%,0.31,0.322,0.388,0.493,0.881,0.171,6.3,0.451,0.6,80,13.3,0.388,120,7799
Chris Nelson,Rockies (AAA),25,315,5.40%,15.20%,0.35,0.325,0.363,0.543,0.906,0.218,5.6,0.353,-0.9,53,8.8,0.388,120,8175
Jerry Sands,Dodgers (AAA),23,418,9.10%,20.60%,0.44,0.278,0.344,0.586,0.931,0.308,5.2,0.282,0.1,70,11.4,0.387,119,4016
Tagg Bozied,Phillies (AAA),31,229,15.30%,31.90%,0.48,0.238,0.371,0.503,0.874,0.265,4.4,0.324,-1.8,37,10.7,0.386,141,sa201378
Terry Tiffee,Yankees (AAA),32,112,0.90%,16.10%,0.06,0.345,0.348,0.536,0.885,0.191,1.8,0.389,-0.1,18,5.2,0.386,141,2160
Chris Carter,Athletics (AAA),24,344,12.20%,24.70%,0.49,0.274,0.366,0.53,0.897,0.257,5.1,0.321,0.5,58,9.1,0.386,119,9911
Travis Snider,Blue Jays (AAA),23,277,9.00%,15.90%,0.57,0.327,0.394,0.48,0.873,0.153,6.8,0.383,1.9,46,7.3,0.386,119,2830
Lorenzo Cain,Royals (AAA),25,549,7.30%,18.60%,0.39,0.312,0.38,0.497,0.877,0.185,6.8,0.366,0.2,92,14.2,0.385,118,9077
Jay Gibbons,Dodgers (AAA),34,310,14.20%,14.20%,1,0.3,0.403,0.456,0.859,0.156,2.8,0.332,0.2,52,8,0.385,118,141
Gil Velazquez,Angels (AAA),31,494,9.90%,12.10%,0.82,0.328,0.399,0.466,0.865,0.138,6.3,0.364,0.4,82,12.6,0.385,118,2070
Adam Loewen,Blue Jays (AAA),27,585,10.40%,23.20%,0.45,0.306,0.377,0.508,0.884,0.202,4.9,0.384,-1.3,97,15,0.385,118,2134
Johnny Giavotella,Royals (AAA),23,503,8.00%,11.30%,0.7,0.338,0.39,0.481,0.871,0.143,4.1,0.367,-0.7,84,12.8,0.385,118,6740
Brandon Moss,Phillies (AAA),27,506,12.30%,25.10%,0.49,0.275,0.368,0.509,0.877,0.234,2.6,0.334,-1.9,81,23,0.385,139,4467
Andrew Brown,Cardinals (AAA),26,428,13.10%,24.50%,0.53,0.284,0.382,0.501,0.883,0.217,4.3,0.34,-1.2,71,10.8,0.385,118,3837
Alejandro De Aza,White Sox (AAA),27,435,7.60%,16.60%,0.46,0.322,0.378,0.494,0.871,0.171,6.8,0.373,-0.3,70,19.5,0.384,139,3371
Jorge Padilla,Marlins (AAA),31,193,9.80%,16.60%,0.59,0.337,0.414,0.429,0.843,0.092,5.5,0.403,0.2,32,4.7,0.384,117,2054
Joe Thurston,Marlins (AAA),31,526,9.10%,14.80%,0.62,0.3,0.388,0.475,0.863,0.174,5.2,0.34,0.4,87,12.7,0.383,117,673
Cord Phelps,Indians (AAA),24,434,11.80%,20.50%,0.57,0.294,0.376,0.492,0.868,0.198,3.7,0.348,-2.1,69,19.2,0.383,138,8631
Jermaine Mitchell,Athletics (AAA),26,275,14.20%,17.10%,0.83,0.302,0.401,0.453,0.853,0.151,6.8,0.359,-0.1,45,6.6,0.383,117,sa326749
Drew Sutton,Red Sox (AAA),28,192,10.90%,19.80%,0.55,0.295,0.382,0.476,0.858,0.181,3.2,0.355,-0.9,31,8.5,0.383,138,7430
Jason Donald,Indians (AAA),26,201,9.50%,16.40%,0.58,0.31,0.397,0.448,0.845,0.138,4.6,0.365,0,32,8.9,0.383,138,9331
Caleb Gindl,Brewers (AAA),22,538,11.70%,17.30%,0.68,0.307,0.39,0.472,0.862,0.165,4.8,0.357,-1.3,89,12.8,0.383,117,5002
Cole Armstrong,Angels (AAA),27,221,12.20%,21.30%,0.57,0.284,0.374,0.5,0.874,0.216,1.7,0.333,-1.1,36,5.2,0.383,117,sa225831
Aaron Bates,Twins (AAA),27,420,12.60%,21.40%,0.59,0.316,0.408,0.439,0.847,0.123,2,0.402,-0.5,67,18.4,0.383,138,2777
Brendan Katin,Brewers (AAA),28,121,9.10%,33.90%,0.27,0.239,0.314,0.624,0.938,0.385,2.2,0.263,0,20,2.8,0.382,116,sa290612
Juan Francisco,Reds (AAA),24,314,3.20%,20.70%,0.15,0.307,0.334,0.54,0.874,0.233,2.5,0.348,-0.2,50,13.6,0.382,138,6978
Matt Antonelli,Nationals (AAA),26,359,13.10%,16.40%,0.8,0.297,0.393,0.46,0.853,0.163,4.2,0.342,-1.5,57,15.6,0.382,138,9343
Russ Mitchell,Dodgers (AAA),26,392,11.70%,15.80%,0.74,0.283,0.372,0.503,0.875,0.22,3.6,0.3,-0.3,64,8.7,0.381,116,5848
Mike Paulk,Rockies (AAA),27,322,9.00%,14.00%,0.64,0.326,0.384,0.476,0.86,0.149,3.8,0.367,-1.3,52,6.9,0.38,115,sa291803
Mauro Gomez,Braves (AAA),26,557,6.80%,23.50%,0.29,0.304,0.355,0.521,0.876,0.217,4,0.363,0.1,88,23.5,0.38,137,5342
Brad Eldred,Giants (AAA),30,413,8.20%,22.80%,0.36,0.278,0.351,0.536,0.887,0.259,4.9,0.315,-0.2,67,8.8,0.38,115,4328
Dusty Brown,Pirates (AAA),29,199,11.10%,17.60%,0.63,0.285,0.367,0.506,0.873,0.221,1.2,0.316,-0.9,31,8.3,0.38,136,3420
Chris Aguila,Marlins (AAA),32,463,9.30%,26.60%,0.35,0.287,0.359,0.518,0.878,0.231,3.8,0.357,0.5,75,9.5,0.379,114,2143
Kevin Kouzmanoff,Athletics (AAA),29,279,3.90%,12.90%,0.31,0.302,0.341,0.55,0.89,0.248,3.4,0.308,-0.3,45,5.7,0.379,114,5995
Val Pascucci,Mets (AAA),32,523,14.50%,28.50%,0.51,0.264,0.375,0.476,0.851,0.212,1.7,0.35,-1,82,21.5,0.379,136,1915
Johan Limonta,Mariners (AAA),27,460,9.60%,16.30%,0.59,0.319,0.382,0.477,0.858,0.157,2.7,0.359,-0.9,74,9,0.378,114,sa328092
Tony Campana,Cubs (AAA),25,129,4.70%,17.80%,0.26,0.35,0.391,0.45,0.841,0.1,8.6,0.433,1.1,21,2.5,0.378,114,4964
Shane Peterson,Athletics (AAA),23,191,12.00%,19.40%,0.62,0.293,0.377,0.479,0.856,0.186,5.9,0.344,-0.1,31,3.6,0.378,113,7423
JD Closser,Dodgers (AAA),31,246,12.20%,13.40%,0.91,0.297,0.378,0.486,0.864,0.189,3.9,0.306,0.4,39,4.6,0.377,113,2108
Luis Valbuena,Indians (AAA),25,472,9.70%,20.30%,0.48,0.302,0.372,0.476,0.848,0.174,3.1,0.355,-0.3,73,18.6,0.377,134,4969
Conor Gillaspie,Giants (AAA),23,503,13.10%,15.70%,0.84,0.297,0.389,0.453,0.842,0.157,4.8,0.339,-2.7,80,9.2,0.377,113,9009
Dan Johnson,Rays (AAA),31,395,14.70%,16.50%,0.89,0.273,0.382,0.459,0.842,0.186,1.5,0.304,-0.7,61,15.4,0.377,134,2167
Jerad Head,Indians (AAA),28,463,5.40%,21.40%,0.25,0.284,0.338,0.526,0.864,0.242,3.7,0.317,-0.1,71,18,0.376,134,8517
Yonder Alonso,Reds (AAA),24,409,11.20%,14.70%,0.77,0.296,0.374,0.486,0.86,0.19,4.3,0.324,-1.1,63,15.8,0.376,133,2530
Devin Mesoraco,Reds (AAA),23,499,10.40%,16.60%,0.63,0.289,0.371,0.484,0.855,0.195,2.8,0.325,-0.5,76,19,0.375,133,5666
Ryan Shealy,Blue Jays (AAA),31,260,11.90%,23.80%,0.5,0.272,0.373,0.478,0.851,0.205,1.9,0.331,-0.5,41,4.4,0.375,112,4443
Mike Aviles,Royals (AAA),30,150,4.00%,11.30%,0.35,0.307,0.329,0.586,0.915,0.279,6.2,0.291,-0.8,24,2.5,0.375,112,5986
Welington Castillo,Cubs (AAA),24,251,8.00%,22.70%,0.35,0.286,0.351,0.524,0.875,0.238,1.6,0.321,0,40,4.2,0.375,112,3256
Dayan Viciedo,White Sox (AAA),22,505,8.90%,16.40%,0.54,0.296,0.364,0.489,0.853,0.192,2,0.324,-0.3,77,18.9,0.375,133,3917
Efren Navarro,Angels (AAA),25,547,7.70%,14.30%,0.54,0.317,0.368,0.488,0.856,0.171,4.6,0.352,-1.5,85,8.3,0.374,111,9854
Matt Carson,- - -,29,495,7.30%,22.80%,0.32,0.279,0.337,0.533,0.871,0.254,5.3,0.322,1.6,77,9.4,0.373,115,4748
Tyler Pastornicky,Braves (AAA),21,117,6.80%,9.40%,0.73,0.365,0.407,0.413,0.821,0.048,4.4,0.398,0.1,18,4.2,0.373,131,6777
Michael Hollimon,Twins (AAA),29,121,14.90%,19.80%,0.75,0.257,0.375,0.455,0.83,0.198,6.8,0.32,0.1,18,4.3,0.372,131,3674
Matt Clark,Padres (AAA),24,535,10.80%,21.70%,0.5,0.292,0.363,0.498,0.861,0.206,2.1,0.333,-1,83,7.6,0.372,110,8793
Jason Kipnis,Indians (AAA),24,400,11.00%,18.00%,0.61,0.28,0.362,0.484,0.846,0.204,7.7,0.318,1.7,60,14.2,0.372,131,9776
