Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Andrew Doyle,Rangers (A+),23,10.1,11.32,5.23,2.17,0,26.50%,12.20%,14.30%,0.286,1.74,0.414,68.40%,4.35,2.74,1.61,sa501264
Kyle Landis,Indians (A+),25,50.1,10.91,1.61,6.78,0.89,32.30%,4.80%,27.50%,0.185,0.83,0.25,86.50%,2.15,2.75,-0.61,sa389180
Drew Hutchison,Blue Jays (A+),20,62.1,9.53,2.02,4.71,0.43,27.60%,5.90%,21.80%,0.19,0.9,0.257,71.70%,2.74,2.76,-0.02,10732
Barret Loux,Rangers (A+),22,109,10.49,2.81,3.74,0.5,27.10%,7.30%,19.80%,0.248,1.28,0.34,70.20%,3.8,2.77,1.03,sa392162
Chadwick Bell,Rangers (A+),22,81.2,7.6,2.53,3,0.22,20.20%,6.70%,13.50%,0.241,1.21,0.302,72.30%,2.98,2.78,0.2,sa392168
Eric Surkamp,Giants (A+),23,6,7.5,1.5,5,0,22.70%,4.60%,18.20%,0.191,0.83,0.25,100.00%,0,2.78,-2.78,2540
Sean Murphy,Athletics (A+),22,6,7.5,1.5,5,0,20.80%,4.20%,16.70%,0.261,1.17,0.333,85.70%,1.5,2.78,-1.28,sa549877
Kramer Sneed,Yankees (A+),22,39,9.69,3.46,2.8,0.23,24.40%,8.70%,15.70%,0.282,1.51,0.381,71.70%,3.69,2.8,0.89,sa549965
Jason Gurka,Orioles (A+),23,28.1,10.8,2.86,3.78,0.64,30.90%,8.20%,22.70%,0.19,0.99,0.266,72.50%,3.18,2.81,0.37,sa455306
Ryan Doolittle,Athletics (A+),23,20.1,10.62,1.33,8,0.44,28.90%,3.60%,25.30%,0.215,0.98,0.296,81.60%,2.21,2.82,-0.6,sa454858
Alvaro Estevez,Marlins (A+),22,5.1,5.06,1.69,3,0,14.30%,4.80%,9.50%,0.25,1.13,0.294,66.70%,0,2.83,-2.83,sa503883
Eric Niesen,Mets (A+),25,36,8,1.5,5.33,0.5,22.40%,4.20%,18.20%,0.219,1,0.272,54.20%,3,2.83,0.17,sa390369
Matt Harvey,Mets (A+),22,76,10.89,2.84,3.83,0.59,29.90%,7.80%,22.10%,0.238,1.2,0.335,80.20%,2.37,2.85,-0.48,11713
Cole White,Royals (A+),23,5.1,6.75,3.38,2,0,18.20%,9.10%,9.10%,0.25,1.31,0.313,85.70%,1.69,2.85,-1.17,sa455563
Mike Piazza,Angels (A+),24,35.2,10.6,3.28,3.23,0,28.00%,8.70%,19.30%,0.178,1.04,0.258,64.10%,2.78,2.85,-0.08,sa504063
